service,metric,mechanism,mape_pct,mae,rmse,r2,f1_threshold_cross,n_test_buckets,used_sigmoid
shipping,Memory,linear_pos,0.27359440759150155,825679.4564298093,1135659.5397403035,0.015706523937879302,1.0,8,
shipping,Memory,hgbr_mono,0.46883147640053086,1413805.476539895,1579997.4305063374,-0.9052021421068825,1.0,8,
shipping,Memory,sigmoid_sat,0.40171762698714386,1213342.1165399104,1266329.6082403553,-0.22383204988856886,1.0,8,False
front-end,Socket,linear_pos,47.488398732430085,3.693520842561504,3.7074932819641067,-1123.3676140921546,1.0,8,
front-end,Socket,hgbr_mono,46.818831058769874,3.6335208425615035,3.667719239465278,-1099.3725532712685,1.0,8,
front-end,Socket,sigmoid_sat,44.36628451642657,3.4460208425615035,3.4577630641359907,-976.998174256033,1.0,8,False
catalogue,Socket,linear_pos,3.3486887810059636,0.22710605721073485,0.3115811947089542,0.10727585523703387,1.0,7,
catalogue,Socket,hgbr_mono,2.9430805217284566,0.1999973420265478,0.2914876978288274,0.2187046044478569,1.0,7,
catalogue,Socket,sigmoid_sat,3.2624724559394447,0.22424891435359193,0.3421413715905743,-0.07643048487765602,1.0,7,False
user,Socket,linear_pos,5.020511235651757,0.9243168912248318,0.9827919646635631,-0.3302409915177089,1.0,8,
user,Socket,hgbr_mono,4.249046213691003,0.7815668912248319,0.8803616711348222,-0.06740537347634135,1.0,8,
user,Socket,sigmoid_sat,5.015112716240193,0.9285668912248313,1.004168139332989,-0.3887370048983456,1.0,8,False
carts,Socket,linear_pos,46.47133076377721,5.7326534667809845,5.844686833973242,-65.32743501393153,1.0,8,
carts,Socket,hgbr_mono,49.67855592742042,6.144903466780985,6.2153411511697145,-74.00680274617156,1.0,8,
carts,Socket,sigmoid_sat,54.518964783202065,6.745653466780984,6.803170503021474,-88.8655882905481,1.0,8,False
orders,Socket,linear_pos,2.2477127212092367,0.372733790337414,0.4719737157942705,0.07584813428549564,1.0,7,
orders,Socket,hgbr_mono,2.401679698290308,0.395876647480271,0.4928238268124505,-0.007606849690064754,1.0,7,
orders,Socket,sigmoid_sat,3.178862022623906,0.5278358311537404,0.6007218487141676,-0.497112972077592,1.0,7,False
payment,Socket,linear_pos,4.604054866452954,0.22162570239873705,0.2528495344555584,-5.858931030348863,1.0,7,
payment,Socket,hgbr_mono,4.365148196650564,0.21048284525587985,0.23135290651993273,-4.742249242070488,1.0,7,
payment,Socket,sigmoid_sat,4.26326976966309,0.20562570239873704,0.22453269694102565,-4.408680215790263,1.0,7,False
shipping,Socket,linear_pos,1.5233380060038324,0.08911895975098683,0.09672785548020998,-0.4230251970966705,1.0,8,
shipping,Socket,hgbr_mono,1.356860872745195,0.07909572308066337,0.08928455550411549,-0.2124452969436199,1.0,8,
shipping,Socket,sigmoid_sat,1.7257218303717972,0.10086895975098675,0.11673295641493665,-1.0725090754238065,1.0,8,False
