split,draw,n_cell,err_P1,err_ctrl,P1_thang,ctrl_thang,hoa,acc_P1,acc_ctrl,kha_thi_gia_P1,kha_thi_gia_ctrl,n_grid
tien_cuu,5,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,6,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,7,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,8,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,9,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,10,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,11,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,12,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,13,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,14,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,15,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,16,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,17,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,18,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,19,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
