mode,shuffled,model,skill,n_train,n_test,msinstanceid
indist,False,base,0.4636272735100585,210,90,01e724aabe7c6f1e3a8ff802d08a52d96abafdb62df8b0ad737ff4ad962b6b8c
indist,False,+node,0.4663081698848671,210,90,01e724aabe7c6f1e3a8ff802d08a52d96abafdb62df8b0ad737ff4ad962b6b8c
ood,False,constant,0.0,201,99,01e724aabe7c6f1e3a8ff802d08a52d96abafdb62df8b0ad737ff4ad962b6b8c
ood,False,base,0.7071586635853794,201,99,01e724aabe7c6f1e3a8ff802d08a52d96abafdb62df8b0ad737ff4ad962b6b8c
ood,False,+node,0.7489878469133977,201,99,01e724aabe7c6f1e3a8ff802d08a52d96abafdb62df8b0ad737ff4ad962b6b8c
indist,False,constant,0.0,210,90,0211d89c15cd39373db8f56d53002f52c37b4bd74ab2b55af2cdf80b06496a73
indist,False,base,0.40502544726472434,210,90,0211d89c15cd39373db8f56d53002f52c37b4bd74ab2b55af2cdf80b06496a73
indist,False,+node,0.40393370332849976,210,90,0211d89c15cd39373db8f56d53002f52c37b4bd74ab2b55af2cdf80b06496a73
ood,False,constant,0.0,201,99,0211d89c15cd39373db8f56d53002f52c37b4bd74ab2b55af2cdf80b06496a73
ood,False,base,0.7463771816992741,201,99,0211d89c15cd39373db8f56d53002f52c37b4bd74ab2b55af2cdf80b06496a73
ood,False,+node,0.7456666531310032,201,99,0211d89c15cd39373db8f56d53002f52c37b4bd74ab2b55af2cdf80b06496a73
indist,False,constant,0.0,210,90,0224e0c4f885fd2828a27ea5a053f73709a24c6aca16a00251824badfc6c1abb
indist,False,base,0.0683618427525855,210,90,0224e0c4f885fd2828a27ea5a053f73709a24c6aca16a00251824badfc6c1abb
indist,False,+node,0.06671751726811725,210,90,0224e0c4f885fd2828a27ea5a053f73709a24c6aca16a00251824badfc6c1abb
ood,False,constant,0.0,201,99,0224e0c4f885fd2828a27ea5a053f73709a24c6aca16a00251824badfc6c1abb
ood,False,base,0.1564801773934652,201,99,0224e0c4f885fd2828a27ea5a053f73709a24c6aca16a00251824badfc6c1abb
ood,False,+node,0.15916330204523854,201,99,0224e0c4f885fd2828a27ea5a053f73709a24c6aca16a00251824badfc6c1abb
indist,False,constant,0.0,210,90,0233d3267b71edd34235edcaff908830af3880ce46f5c9e5ce8f99912463e6f6
indist,False,base,0.0018025723095901336,210,90,0233d3267b71edd34235edcaff908830af3880ce46f5c9e5ce8f99912463e6f6
indist,False,+node,-0.0037196816873898975,210,90,0233d3267b71edd34235edcaff908830af3880ce46f5c9e5ce8f99912463e6f6
ood,False,constant,0.0,201,99,0233d3267b71edd34235edcaff908830af3880ce46f5c9e5ce8f99912463e6f6
ood,False,base,-2.7360669941778912,201,99,0233d3267b71edd34235edcaff908830af3880ce46f5c9e5ce8f99912463e6f6
ood,False,+node,-2.766431807052268,201,99,0233d3267b71edd34235edcaff908830af3880ce46f5c9e5ce8f99912463e6f6
indist,False,constant,0.0,210,90,02354929dede16e5235bdbd5cae362bc39c3c2071cab82a3fc7d9ee032987782
indist,False,base,0.08486134920425403,210,90,02354929dede16e5235bdbd5cae362bc39c3c2071cab82a3fc7d9ee032987782
indist,False,+node,0.08988839960953421,210,90,02354929dede16e5235bdbd5cae362bc39c3c2071cab82a3fc7d9ee032987782
ood,False,constant,0.0,201,99,02354929dede16e5235bdbd5cae362bc39c3c2071cab82a3fc7d9ee032987782
ood,False,base,-0.15557795313095002,201,99,02354929dede16e5235bdbd5cae362bc39c3c2071cab82a3fc7d9ee032987782
ood,False,+node,-0.15023837537189721,201,99,02354929dede16e5235bdbd5cae362bc39c3c2071cab82a3fc7d9ee032987782
indist,False,constant,0.0,210,90,024c08c5930ca597648bb497c3cd1b07017116dbfcc5de16e0f45f4805abdb23
