scenario,target,fault,run_id,metric,n_services,delta_w_pct,rho_model,rho_hop,rho_random,prec_model,prec_hop,prec_random
catalogue_loss,catalogue,loss,1,mem,6,-65.76845411823886,-0.5217939320872036,0.6172133998483676,-0.28988551782622424,0.0,0.5,0.0
catalogue_loss,catalogue,loss,2,cpu,6,-43.826210505764394,0.942857142857143,0.0,0.2571428571428572,1.0,0.5,0.5
catalogue_loss,catalogue,loss,2,mem,6,-43.826210505764394,0.028571428571428574,0.7715167498104596,0.48571428571428577,0.5,1.0,0.5
catalogue_loss,catalogue,loss,3,cpu,6,-57.096422705935986,-0.8451542547285165,0.0,0.06761234037828133,0.0,0.5,0.5
catalogue_loss,catalogue,loss,3,mem,6,-57.096422705935986,-0.3718678720805473,0.3086066999241838,0.3380617018914066,0.5,1.0,0.5
catalogue_mem,catalogue,mem,1,cpu,6,1.7675970183420202,-0.2704493615131253,0.3086066999241838,-0.1690308509457033,0.0,0.5,0.5
catalogue_mem,catalogue,mem,1,mem,6,1.7675970183420202,0.08571428571428573,-0.24688535993934707,-0.48571428571428577,0.0,0.5,0.0
catalogue_mem,catalogue,mem,2,cpu,6,-3.503490203109623,,-0.2160246899469287,,0.0,0.0,0.0
catalogue_mem,catalogue,mem,2,mem,6,-3.503490203109623,-0.033806170189140665,0.06172133998483677,-0.033806170189140665,0.5,0.5,0.5
catalogue_mem,catalogue,mem,3,cpu,6,-0.19087503081526286,-0.33394720739540396,0.2160246899469287,-0.15179418517972906,0.5,0.5,0.5
catalogue_mem,catalogue,mem,3,mem,6,-0.19087503081526286,0.4394802124588286,-0.030860669992418384,-0.3380617018914066,0.5,0.5,0.0
catalogue_socket,catalogue,socket,1,cpu,6,0.08353143680365367,-0.3946648814672956,-0.12344267996967354,0.5161002296110789,0.5,0.5,1.0
catalogue_socket,catalogue,socket,1,mem,6,0.08353143680365367,-0.304255531702266,0.7715167498104596,0.1690308509457033,0.0,0.5,0.5
catalogue_socket,catalogue,socket,2,cpu,6,0.5916437554753355,0.2,-0.2160246899469287,0.4285714285714286,0.5,0.0,0.5
catalogue_socket,catalogue,socket,2,mem,6,0.5916437554753355,0.09107651110783746,-0.09258200997725516,0.21251185925162072,0.5,0.5,0.5
catalogue_socket,catalogue,socket,3,cpu,6,-1.1151065136859168,-0.13093073414159545,-0.3394673699166022,-0.39279220242478635,0.0,0.0,0.0
catalogue_socket,catalogue,socket,3,mem,6,-1.1151065136859168,,-0.46291004988627577,,0.5,0.5,0.5
orders_cpu,orders,cpu,1,cpu,6,-1.4084998842239815,-0.15179418517972906,0.6546536707079772,-0.3946648814672956,0.0,0.5,0.0
orders_cpu,orders,cpu,1,mem,6,-1.4084998842239815,0.3188740696088466,-0.6546536707079772,0.17393131069573453,0.5,0.5,0.5
orders_cpu,orders,cpu,2,cpu,6,1.1772752755900853,-0.304255531702266,0.39279220242478635,0.3718678720805473,0.0,0.5,0.5
orders_cpu,orders,cpu,2,mem,6,1.1772752755900853,0.39279220242478635,-0.13093073414159545,0.6546536707079772,0.5,0.5,0.5
orders_cpu,orders,cpu,3,cpu,6,1.6466966367154092,-0.030358837035945815,-0.13093073414159545,0.15179418517972906,0.5,0.5,0.5
orders_cpu,orders,cpu,3,mem,6,1.6466966367154092,0.27322953332351235,-0.39279220242478635,0.27322953332351235,0.5,0.5,0.5
orders_delay,orders,delay,1,cpu,6,-2.518831059724527,-0.3142857142857143,0.13093073414159545,-0.6571428571428573,0.0,1.0,0.0
