service,metric,mechanism,mape_pct,mae,rmse,r2,f1_threshold_cross,n_test_buckets
catalogue,Memory,linear_pos,0.8394060728988005,51251.01068199439,63808.09345286712,-1.2719220707734,1.0,7
catalogue,Memory,hgbr_mono,0.8471871421257668,51707.42211056594,66502.62987399161,-1.4678544027589773,1.0,7
user,Memory,auto_gcm,1.11559389504897,89448.19459240302,100753.65592934044,0.3223005101464079,1.0,8
user,Memory,linear_pos,1.7471611844280637,138616.14047876652,171935.53706831505,-0.9735440762784824,1.0,8
user,Memory,hgbr_mono,2.26610898335583,179885.79232714965,213048.74728148006,-2.0302153990326786,1.0,8
carts,Memory,auto_gcm,0.9059381820300791,1938313.636569377,2375572.952525625,-0.026125028974816278,1.0,8
carts,Memory,linear_pos,1.0335352513539748,2190873.412591528,2853127.4762783865,-0.48015054506178556,1.0,8
carts,Memory,hgbr_mono,2.616009020787612,5535833.944877896,5927713.618421872,-5.389074680624022,1.0,8
orders,Memory,auto_gcm,1.5312872542349683,5089860.779567949,6416190.862473148,-3.0394557738293972,1.0,7
orders,Memory,linear_pos,1.015483624024009,3347946.816660464,3972724.7736064815,-0.5486214341981335,1.0,7
orders,Memory,hgbr_mono,1.066787247210634,3513568.611573211,4139416.6088850293,-0.6813053096881783,1.0,7
payment,Memory,auto_gcm,2.2032610448744414,100867.23425128272,106091.26335280495,-5.941399189994736,1.0,7
payment,Memory,linear_pos,0.9202454352597738,41909.44373751738,51144.003644408534,-0.6131591778322072,1.0,7
payment,Memory,hgbr_mono,0.8266449852533189,37696.971736490996,43882.4416196123,-0.18759769509941226,1.0,7
shipping,Memory,auto_gcm,0.46098314985839517,1394543.8612582386,1756246.0724886453,-1.3539597457340489,1.0,8
shipping,Memory,linear_pos,0.3256740648138273,984953.4404298067,1072857.9656681153,0.12155867182183722,1.0,8
shipping,Memory,hgbr_mono,0.3537714726758833,1067890.0845399052,1299052.9091408243,-0.28789951431010663,1.0,8
front-end,Socket,auto_gcm,31.672407787875972,2.458479157438496,2.5663122096943645,-537.7242965296265,1.0,8
front-end,Socket,linear_pos,45.79345018725686,3.557270842561504,3.5715385226345626,-1042.417844917387,1.0,8
front-end,Socket,hgbr_mono,45.73734104979847,3.555270842561504,3.5776205735448428,-1045.9745888173907,1.0,8
catalogue,Socket,auto_gcm,7.144010758734062,0.47030128369891055,0.49867948553754343,-1.2867453784041358,0.0,7
catalogue,Socket,linear_pos,2.922048837440056,0.20085448488369056,0.30669589629662924,0.13505053476317708,1.0,7
catalogue,Socket,hgbr_mono,4.028011634577531,0.26999734202654785,0.33261060180664753,-0.017295165436350457,1.0,7
user,Socket,auto_gcm,4.818312509239372,0.9179094838174242,1.0792984690956335,-0.6043172552811877,1.0,8
user,Socket,linear_pos,4.476662354282164,0.8243168912248313,0.923033073951476,-0.1733880425994212,1.0,8
user,Socket,hgbr_mono,4.641535131223722,0.8530668912248318,1.0095927444130357,-0.4037816919913637,1.0,8
carts,Socket,auto_gcm,48.21092794152185,5.879096533219015,6.803866244364389,-88.88396983841278,1.0,8
carts,Socket,linear_pos,50.61708198453021,6.235653466780985,6.395920642211359,-78.42858829990993,1.0,8
carts,Socket,hgbr_mono,49.2247528184575,6.089653466780986,6.158893734605901,-72.65057340307216,1.0,8
orders,Socket,auto_gcm,4.350424643278168,0.7335038251806199,0.8246582991245223,-1.8213423349228521,1.0,7
orders,Socket,linear_pos,2.9987850135673257,0.49381065808891983,0.6168500077191693,-0.578580983417974,1.0,7
orders,Socket,hgbr_mono,2.52349420788168,0.41783583115374057,0.47999353212356666,0.04417477357540056,1.0,7
payment,Socket,auto_gcm,4.5514990009254515,0.2181093664900365,0.30253159226190895,-8.819143012329986,1.0,7
payment,Socket,linear_pos,4.515042804011336,0.21791141668445135,0.23544801661516077,-4.947332121973279,1.0,7
payment,Socket,hgbr_mono,3.995229937202527,0.19305427382730858,0.20529223600855645,-3.521444134016158,1.0,7
shipping,Socket,auto_gcm,1.3041391699183684,0.07636895975098679,0.08242659566402467,-0.03334227695806291,1.0,8
shipping,Socket,linear_pos,1.1454226681805117,0.0671189597509868,0.07823205001044925,0.06915173630985982,1.0,8
shipping,Socket,hgbr_mono,1.5313132731932384,0.08926244791249416,0.10328031691986937,-0.6223501576461794,1.0,8
