mode,shuffled,n_train,n_test,model,skill,mape,parent,child,n_calls
indist,False,210,90,graph_NNLS,0.022203342703424056,6.646140098571777,7d0508345ec0,648b2a0c2f0a,7130
ood,False,201,99,constant,0.0,6.322133799579883,7d0508345ec0,648b2a0c2f0a,7130
ood,False,201,99,uniform_delta,-1.7277415591861782,10.364839662710464,7d0508345ec0,648b2a0c2f0a,7130
ood,False,201,99,graph_LinearReg,-0.003217383006423491,6.454815864562988,7d0508345ec0,648b2a0c2f0a,7130
ood,False,201,99,graph_NNLS,-0.003217383006423491,6.454815864562988,7d0508345ec0,648b2a0c2f0a,7130
indist,False,210,90,constant,0.0,8.544573767634953,f10612cc80a4,0e1f021c1406,6987
indist,False,210,90,uniform_delta,0.3816522017968266,6.554741537382204,f10612cc80a4,0e1f021c1406,6987
indist,False,210,90,graph_LinearReg,0.37452328601655305,6.544855117797852,f10612cc80a4,0e1f021c1406,6987
indist,False,210,90,graph_NNLS,0.37452328601655305,6.544855117797852,f10612cc80a4,0e1f021c1406,6987
ood,False,201,99,constant,0.0,10.598353522375765,f10612cc80a4,0e1f021c1406,6987
ood,False,201,99,uniform_delta,0.6445255559415899,6.134087079235657,f10612cc80a4,0e1f021c1406,6987
ood,False,201,99,graph_LinearReg,0.49186600201330144,6.550130367279053,f10612cc80a4,0e1f021c1406,6987
ood,False,201,99,graph_NNLS,0.49186582270990276,6.550131797790527,f10612cc80a4,0e1f021c1406,6987
indist,False,210,90,constant,0.0,7.595496665771101,6f83eed12375,af42b5e3e0eb,6941
indist,False,210,90,uniform_delta,0.7618645663294447,3.5833289275929756,6f83eed12375,af42b5e3e0eb,6941
indist,False,210,90,graph_LinearReg,0.7594048114565627,3.5943870544433594,6f83eed12375,af42b5e3e0eb,6941
indist,False,210,90,graph_NNLS,0.7594047696761521,3.594388008117676,6f83eed12375,af42b5e3e0eb,6941
ood,False,201,99,constant,0.0,12.559430673106696,6f83eed12375,af42b5e3e0eb,6941
