evaluation_protocol,risk_threshold,service,metric,unit,n_train,n_fit,n_test,wl_train,wl_test,model,mape_pct,smape_pct,rmse,nrmse,mae,r2,mape_full_res_pct,mae_full_res,rmse_full_res,r2_full_res,n_test_full_res,train_time_s
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,Memory,MB,43416,2000,21384,0.0-4.2,4.2-6.7,LinearReg,1.5,1.48,0.0936,1.5927,0.0917,-26.035,3.48,0.2097,0.3734,-0.069,21384,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,Memory,MB,43416,2000,21384,0.0-4.2,4.2-6.7,GradBoost,0.22,0.22,0.0185,0.3149,0.0132,-0.057,3.32,0.2037,0.3613,-0.0,21384,0.06
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,Memory,MB,43416,2000,21384,0.0-4.2,4.2-6.7,GaussianProcess,3.03,2.98,0.1868,3.1787,0.1858,-106.688,4.13,0.2476,0.4032,-0.246,21384,25.3
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,Memory,MB,43416,2000,21384,0.0-4.2,4.2-6.7,SCM_Auto,3.72,3.59,0.3383,5.7579,0.2282,-352.338,3.48,0.2097,0.3734,-0.069,21384,1.61
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,Memory,MB,43416,2000,21384,0.0-4.2,4.2-6.7,SCM_Deployed,3.5,3.33,0.3631,6.1796,0.2151,-405.984,4.17,0.2497,0.4056,-0.261,21384,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,Memory,MB,43416,2000,21384,0.0-19.1,19.1-30.1,LinearReg,0.75,0.75,0.0726,0.3314,0.0603,-0.083,7.96,0.5924,0.841,-0.0,21384,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,Memory,MB,43416,2000,21384,0.0-19.1,19.1-30.1,GradBoost,2.79,2.74,0.2343,1.0701,0.2236,-10.29,8.06,0.586,0.8699,-0.07,21384,0.09
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,Memory,MB,43416,2000,21384,0.0-19.1,19.1-30.1,GaussianProcess,1.0,0.99,0.1019,0.4656,0.0798,-1.137,7.93,0.5867,0.8441,-0.008,21384,34.05
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,Memory,MB,43416,2000,21384,0.0-19.1,19.1-30.1,SCM_Auto,0.82,0.82,0.0793,0.3622,0.0657,-0.293,7.96,0.5924,0.841,-0.0,21384,0.23
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,Memory,MB,43416,2000,21384,0.0-19.1,19.1-30.1,SCM_Deployed,1.22,1.21,0.1242,0.5675,0.0977,-2.175,7.93,0.587,0.8441,-0.008,21384,0.01
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,carts,Memory,MB,43416,2000,21384,0.0-8.5,8.5-13.7,LinearReg,0.36,0.36,0.9816,0.405,0.7616,-0.366,2.89,6.8732,19.7975,-0.001,21384,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,carts,Memory,MB,43416,2000,21384,0.0-8.5,8.5-13.7,GradBoost,0.82,0.82,1.9314,0.7968,1.7392,-4.288,2.82,6.7994,19.8715,-0.008,21384,0.07
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,carts,Memory,MB,43416,2000,21384,0.0-8.5,8.5-13.7,GaussianProcess,0.8,0.81,1.8292,0.7546,1.7152,-3.743,2.82,6.7896,19.8632,-0.007,21384,27.57
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,carts,Memory,MB,43416,2000,21384,0.0-8.5,8.5-13.7,SCM_Auto,2.27,2.31,5.2495,2.1657,4.8393,-38.061,3.18,7.6215,20.4486,-0.067,21384,0.23
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,carts,Memory,MB,43416,2000,21384,0.0-8.5,8.5-13.7,SCM_Deployed,0.65,0.64,1.4871,0.6135,1.3722,-2.135,2.98,7.0428,19.8354,-0.004,21384,0.01
