repeat,service,hops,group,change_pct,z_score,anomaly_score,shapley_contribution,risk_level
3,ts-payment-service,-1,unreachable,-4.41,0.0442,0.4554,0.2383,normal
3,ts-ticketinfo-service,1,reachable,6.34,0.1345,0.1589,0.2159,normal
3,ts-travel-service,1,reachable,15.37,0.1993,0.223,0.2121,normal
3,ts-preserve-other-service,-1,unreachable,-6.21,0.0639,0.4153,0.2076,normal
3,ts-security-service,1,reachable,15.25,0.171,0.4429,0.2071,normal
3,ts-route-service,2,reachable,5.54,0.0964,0.5239,0.1848,normal
3,ts-assurance-service,1,reachable,13.09,0.127,0.5635,0.1834,normal
3,ts-order-service,1,reachable,14.02,0.1748,0.5205,0.1733,normal
3,ts-food-map-service,2,reachable,5.99,0.0556,0.5495,0.1541,normal
3,ts-contacts-service,1,reachable,11.11,0.1178,0.5653,0.1484,normal
3,ts-inside-payment-service,-1,unreachable,13.34,0.0681,1.1765,0.1461,normal
3,ts-admin-travel-service,-1,unreachable,-2.43,0.0264,0.4538,0.1277,normal
3,ts-preserve-service,0,injection_self,41.79,0.4477,0.5222,0.1257,normal
3,ts-user-service,1,reachable,22.28,0.2071,0.6515,0.1031,normal
3,ts-food-service,1,reachable,11.86,0.1361,0.5222,0.0899,normal
3,ts-admin-basic-info-service,-1,unreachable,-2.72,0.0276,0.6084,0.0297,normal
4,ts-auth-service,-1,unreachable,1.34,0.1002,0.1187,0.4631,normal
4,ts-order-other-service,2,reachable,-0.52,0.0091,0.3023,0.3903,normal
4,ts-basic-service,2,reachable,1.84,0.04,0.1531,0.3539,normal
4,ts-config-service,2,reachable,-0.44,0.0056,0.5072,0.3361,normal
4,ts-ui-dashboard,-1,unreachable,0.03,0.0023,0.1947,0.3273,normal
4,ts-ticketinfo-service,1,reachable,1.63,0.0346,0.0202,0.3161,normal
4,ts-train-service,2,reachable,-0.35,0.0055,0.1519,0.3085,normal
4,ts-station-service,1,reachable,1.24,0.0276,0.1959,0.2975,normal
4,ts-route-service,2,reachable,1.36,0.0236,0.5461,0.2817,normal
4,ts-seat-service,1,reachable,0.52,0.0081,0.0998,0.2811,normal
4,ts-order-service,1,reachable,4.96,0.0618,0.4168,0.2743,normal
4,ts-price-service,3,reachable,3.15,0.0341,0.6458,0.2706,normal
4,ts-security-service,1,reachable,13.09,0.1469,0.3536,0.2701,normal
4,ts-food-map-service,2,reachable,-3.94,0.0366,0.5375,0.2684,normal
4,ts-food-service,1,reachable,1.33,0.0153,0.3913,0.2672,normal
4,ts-travel2-service,-1,unreachable,-3.84,0.0711,0.2045,0.2635,normal
4,ts-travel-service,1,reachable,6.86,0.089,0.1996,0.252,normal
4,ts-assurance-service,1,reachable,6.27,0.0609,0.3679,0.2083,normal
4,ts-admin-travel-service,-1,unreachable,-6.14,0.0668,0.4554,0.1557,normal
4,ts-preserve-other-service,-1,unreachable,2.92,0.0301,0.5392,0.1555,normal
4,ts-contacts-service,1,reachable,10.58,0.1121,0.5992,0.1507,normal
4,ts-preserve-service,0,injection_self,33.71,0.3612,0.4321,0.1507,normal
4,ts-user-service,1,reachable,20.35,0.1892,0.6612,0.1446,normal
4,ts-consign-price-service,-1,unreachable,1.94,0.0205,0.5189,0.1326,normal
4,ts-payment-service,-1,unreachable,-2.29,0.0229,0.4523,0.1326,normal
