scenario,fault,run_id,metric,service,parent,lag,n,marginal,residual_carry,counterfactual
payment_socket,socket,2,cpu,payment,orders,5,714,97.98298281227473,8.567668620335185,8.567668620335185
payment_socket,socket,2,cpu,payment,orders,15,704,99.09466736432884,17.713303327048973,17.713303327048973
payment_socket,socket,2,cpu,payment,orders,30,689,99.72209238051528,18.47459437108134,18.47459437108134
payment_socket,socket,2,cpu,shipping,orders,5,716,27.028913518351832,11.528175733239415,11.502046420118944
payment_socket,socket,2,cpu,shipping,orders,15,706,27.299592368695624,24.10937065945719,24.20127663389455
payment_socket,socket,2,cpu,shipping,orders,30,691,27.639422119276176,35.315660471314175,35.32647486766068
payment_socket,socket,2,mem,catalogue,front-end,5,716,1.2748933798565973,0.03899577569761606,0.03834906716128755
payment_socket,socket,2,mem,catalogue,front-end,15,706,1.2913958029104489,0.11035393066030716,0.10875933016490308
payment_socket,socket,2,mem,catalogue,front-end,30,691,1.316255636818935,0.1448745603635578,0.1434113704331181
payment_socket,socket,2,mem,carts,front-end,5,716,0.6935625272111381,0.011448637114596353,0.007741983464568577
payment_socket,socket,2,mem,carts,front-end,15,706,0.6936855709842125,0.027813824182693177,0.017937532476426054
payment_socket,socket,2,mem,carts,front-end,30,691,0.693312597469739,0.03285654509661478,0.019971526353123197
payment_socket,socket,2,mem,user,front-end,5,716,1.1056871452629635,0.03200528096525471,0.03200528096525471
payment_socket,socket,2,mem,user,front-end,15,706,1.1109552388219333,0.08840786948946523,0.08840786948946523
payment_socket,socket,2,mem,user,front-end,30,691,1.118721046606491,0.10670280060340576,0.10670280060340576
payment_socket,socket,2,mem,orders,front-end,5,716,0.04663118181473547,0.005613873100694584,0.005613873100694584
payment_socket,socket,2,mem,orders,front-end,15,706,0.04663932957609097,0.016678726756058578,0.016678726756058578
payment_socket,socket,2,mem,orders,front-end,30,691,0.04651581709642863,0.02297710554595054,0.02297710554595054
payment_socket,socket,2,mem,payment,orders,5,716,58.60254625786933,5.047428962064148,5.047428962064148
payment_socket,socket,2,mem,payment,orders,15,706,59.43131866599756,14.431809349163194,14.431809349163194
payment_socket,socket,2,mem,payment,orders,30,691,60.08322954637578,21.175773099321145,21.175773099321145
payment_socket,socket,2,mem,shipping,orders,5,716,0.018427967072459316,0.0008136756237189767,0.0008136756237189767
payment_socket,socket,2,mem,shipping,orders,15,706,0.018635945245358523,0.0021713224933774256,0.0021713224933774256
payment_socket,socket,2,mem,shipping,orders,30,691,0.01889942056560111,0.003041702938589729,0.003041702938589729
payment_socket,socket,3,cpu,catalogue,front-end,5,716,7.5476259917036925,6.366969765259732,6.3596357486249895
payment_socket,socket,3,cpu,catalogue,front-end,15,706,7.570169596128899,10.109145510797074,10.114749811443028
payment_socket,socket,3,cpu,catalogue,front-end,30,691,7.423421026073365,10.023732226232491,10.059513618327015
payment_socket,socket,3,cpu,carts,front-end,5,716,17.65731123965267,6.217044659674034,6.217044659674034
payment_socket,socket,3,cpu,carts,front-end,15,706,17.825959955763608,8.2512432200831,8.2512432200831
payment_socket,socket,3,cpu,carts,front-end,30,691,18.169527409955172,9.395921460761127,9.395921460761127
payment_socket,socket,3,cpu,user,front-end,5,716,6.941334164197249,5.468380781345735,5.468380781345735
payment_socket,socket,3,cpu,user,front-end,15,706,6.869951487074746,8.641979242954218,8.641979242954218
payment_socket,socket,3,cpu,user,front-end,30,691,6.710842166078988,7.865055783563226,7.865055783563226
payment_socket,socket,3,cpu,orders,front-end,5,716,42.942813182632754,7.825200171646689,7.722271523029662
payment_socket,socket,3,cpu,orders,front-end,15,706,42.90893337814437,13.343112041251468,13.348943946531142
payment_socket,socket,3,cpu,orders,front-end,30,691,43.03964263737539,14.995960614524458,14.901117790753226
payment_socket,socket,3,cpu,payment,orders,5,716,99.28675741166344,6.5401672748319095,6.533189046143577
payment_socket,socket,3,cpu,payment,orders,15,706,99.70774936588815,9.210286154698316,9.20586179490525
payment_socket,socket,3,cpu,payment,orders,30,691,99.72831398239981,10.800389431545867,10.799624952503477
payment_socket,socket,3,cpu,shipping,orders,5,716,93.73207278784781,13.670056185270345,13.148237471899094
