service,metric,mechanism,mape_pct,mae,rmse,r2,f1_threshold_cross,n_test_buckets
carts,Memory,hgbr_mono,0.8799640086226518,1866919.58300405,2117824.2866252256,-0.9123368860343681,1.0,8
orders,Memory,auto_gcm,0.9258995926675956,3063187.5120571777,3347601.1613816493,-0.9717024908175937,1.0,8
orders,Memory,linear_pos,0.9393907783668342,3098347.428373471,3660439.503668401,-1.3574388299927533,1.0,8
orders,Memory,hgbr_mono,0.571555652744981,1890622.0781833977,2138576.2291539083,0.19531957653453713,1.0,8
payment,Memory,auto_gcm,0.8556121024839978,39014.351611491176,45052.38725336408,-1.3542304074341143,1.0,8
payment,Memory,linear_pos,0.5669388300470602,25864.32115524949,29452.03018705577,-0.006106191640586234,1.0,8
payment,Memory,hgbr_mono,0.5878999967951816,26769.334696268197,35858.60373034968,-0.49142046334654355,1.0,8
shipping,Memory,auto_gcm,1.5590888128515663,4711612.426008403,9808931.077567266,-291.24688325204926,0.0,8
shipping,Memory,linear_pos,0.35788732376742377,1078102.0397562757,1296332.115643963,-4.104333984603665,1.0,8
shipping,Memory,hgbr_mono,0.428871695818444,1292401.958544232,1403699.0489112202,-4.984867412188028,1.0,8
front-end,Socket,auto_gcm,11.81279489224384,1.1287627479241416,1.2397787679783385,0.9125423024732329,1.0,8
front-end,Socket,linear_pos,26.10669120757938,2.9603994374305493,4.175243577875378,0.008087680993351887,0.0,8
front-end,Socket,hgbr_mono,27.44647914948086,3.096649437430549,4.34211871727239,-0.07278585145348115,0.0,8
catalogue,Socket,auto_gcm,7.228694891490487,0.4760970850013174,0.5041519054739525,-6.049189272355153,1.0,8
catalogue,Socket,linear_pos,1.7734865734576566,0.11213331154012551,0.17691912269950583,0.13190770813722574,1.0,8
catalogue,Socket,hgbr_mono,1.9638012266383023,0.12598306681052684,0.17551058263160496,0.1456753023815981,1.0,8
user,Socket,auto_gcm,3.276031765438317,0.6080852823357743,0.7572928871603948,-1.5669396507597577,1.0,8
user,Socket,linear_pos,2.2894542676869167,0.42261306011355115,0.5719475483279938,-0.464199682595386,1.0,8
user,Socket,hgbr_mono,3.0013515216080644,0.5639463934468845,0.6111105882713075,-0.671581361131973,1.0,8
carts,Socket,auto_gcm,9.146302372841127,1.4731013131142405,1.6901677803238615,0.8361054315338353,0.0,8
carts,Socket,linear_pos,25.21656842131048,3.931887177934353,4.269314959185507,-0.045734206663114785,1.0,8
carts,Socket,hgbr_mono,27.32413687379681,4.177637177934352,4.5097514259311575,-0.16683684213873895,1.0,8
orders,Socket,auto_gcm,2.779720722099241,0.4642778246528243,0.542864287094,-0.9356187634208066,1.0,8
orders,Socket,linear_pos,1.9281350167747187,0.3256147079680405,0.426018813695009,-0.1920510006638818,1.0,8
orders,Socket,hgbr_mono,1.9248271217521744,0.32393390638688224,0.3984877917647881,-0.0429592031081929,1.0,8
payment,Socket,auto_gcm,2.9213219401092907,0.14987213955903445,0.19553850437131629,-0.3603226691409298,1.0,8
payment,Socket,linear_pos,2.5788161660456734,0.13229935474890753,0.18363891521499198,-0.19979430082567817,1.0,8
payment,Socket,hgbr_mono,2.6574884981847493,0.13637213955903427,0.1827229208040666,-0.18785495840580846,1.0,8
shipping,Socket,auto_gcm,1.201513686780156,0.06953085084406718,0.08908144619972728,-0.2218382604757927,1.0,8
shipping,Socket,linear_pos,1.347694750216786,0.07813136630798456,0.09519633083622896,-0.39533864240379457,1.0,8
shipping,Socket,hgbr_mono,1.2443801339013218,0.07216528012347401,0.0870666567149653,-0.1671937111786299,1.0,8
