label,target,repeat,scenario,true_tier,tier1_contrib,tier2_contrib,predicted_tier,correct
SockShop,user_cpu,5,tier1_driven,tier1,0.5393845642049233,-0.12421490352628076,tier1,True
SockShop,user_cpu,5,tier2_driven,tier2,0.0008735861610113386,0.49812840984697276,tier2,True
SockShop,user_cpu,6,tier1_driven,tier1,0.5371363938789089,-0.09402262142381906,tier1,True
SockShop,user_cpu,6,tier2_driven,tier2,-0.004699933466400519,0.5037019294743846,tier2,True
SockShop,user_cpu,7,tier1_driven,tier1,0.5848203592814372,-0.14969061876247497,tier1,True
SockShop,user_cpu,7,tier2_driven,tier2,-0.00723685961410514,0.5062388556220893,tier2,True
SockShop,user_cpu,8,tier1_driven,tier1,0.5719594145043247,-0.12884564204923488,tier1,True
SockShop,user_cpu,8,tier2_driven,tier2,0.007186294078509653,0.49181570192947444,tier2,True
SockShop,user_cpu,9,tier1_driven,tier1,0.5690785096473718,-0.12596473719228204,tier1,True
SockShop,user_cpu,9,tier2_driven,tier2,-0.0006952761144378241,0.49969727212242193,tier2,True
SockShop,carts_cpu,0,tier1_driven,tier1,0.17225748502994015,0.027343313373253582,tier1,True
SockShop,carts_cpu,0,tier2_driven,tier2,-0.012506986027944172,0.5035249500998,tier2,True
SockShop,carts_cpu,1,tier1_driven,tier1,0.17069993346640075,0.12071723220226223,tier1,True
SockShop,carts_cpu,1,tier2_driven,tier2,-0.00883965402528274,0.5038496340652029,tier2,True
SockShop,carts_cpu,2,tier1_driven,tier1,0.19284098469727215,-0.005216234198270012,tier1,True
SockShop,carts_cpu,2,tier2_driven,tier2,-0.009885562208915486,0.48892747837658,tier2,True
SockShop,carts_cpu,3,tier1_driven,tier1,0.18999334664005318,0.04154357950765143,tier1,True
SockShop,carts_cpu,3,tier2_driven,tier2,-0.017250166333998708,0.5122601463739188,tier2,True
SockShop,carts_cpu,4,tier1_driven,tier1,0.20365136393878908,0.07978176979374586,tier1,True
SockShop,carts_cpu,4,tier2_driven,tier2,-0.009476380572188945,0.4965023286759816,tier2,True
SockShop,carts_cpu,5,tier1_driven,tier1,0.22708782435129746,0.04836127744510974,tier1,True
SockShop,carts_cpu,5,tier2_driven,tier2,-0.01325282767797734,0.50027877578177,tier2,True
SockShop,carts_cpu,6,tier1_driven,tier1,0.20245508982035923,0.069001996007984,tier1,True
