scenario,target,fault,run_id,metric,other_service,n_pre,n_post,naive_post,backdoor_post,structural_post,naive_pre,backdoor_pre
orders_disk,orders,disk,3,cpu,catalogue,720,721,15.846569642706196,15.260368373899777,8.117816812689044,8.78460509400336,8.795135777186596
orders_disk,orders,disk,3,cpu,user,720,721,10.214503209225002,10.835089712583592,8.499230418572362,8.74349553397572,8.824149287902285
orders_disk,orders,disk,3,cpu,carts,720,721,17.025812738975294,17.431063174512275,11.578847868864427,9.126898786800034,9.045412765742032
orders_disk,orders,disk,3,cpu,payment,720,721,16.64349724156463,16.234396839824097,9.866413897778713,12.001107794520909,12.035383982593903
orders_disk,orders,disk,3,cpu,shipping,720,719,1768.915376713285,1774.8767718490853,83.9977177407603,84.51015778820704,83.9599812336243
orders_disk,orders,disk,3,mem,front-end,720,721,85.59753055542416,72.22885318623665,3.5978860280572524,3.2853964898367645,3.2737890866702077
orders_disk,orders,disk,3,mem,catalogue,720,721,514.9450377752842,514.5225655971301,1.1868652131166928,0.5808565238102672,0.5805081730328169
orders_disk,orders,disk,3,mem,user,720,721,149.20746956028336,150.82526078466353,1.058795327609318,0.1699042783708682,0.17129539432943858
orders_disk,orders,disk,3,mem,carts,720,721,109.75043174913135,109.54371567304888,0.11192731160865428,0.2213099964376561,0.22165857153798285
orders_disk,orders,disk,3,mem,payment,720,721,50.61149225818045,48.61112377808788,0.682385838314043,0.16625750369890613,0.16535956586977787
orders_disk,orders,disk,3,mem,shipping,720,721,59.43953152682526,59.5702817860363,0.12487899815509702,0.07268805520697118,0.07273190406939466
orders_loss,orders,loss,1,cpu,front-end,720,721,5.562513479106675,6.3577819975471535,5.4616436403999336,8.096686104468048,7.7995932103891015
orders_loss,orders,loss,1,cpu,catalogue,720,721,10.026664613541026,10.330854058988416,9.150103723349426,6.996085845896046,6.853978250584751
orders_loss,orders,loss,1,cpu,user,720,721,20.349135460749253,20.508304898912602,22.45861173883621,4.940046944037767,4.955215182444396
orders_loss,orders,loss,1,cpu,carts,720,721,9.185267486538399,8.45334741032706,8.444076510367626,7.957018472009328,7.882783731195165
orders_loss,orders,loss,1,cpu,payment,720,721,13.113490934509963,13.03766711898557,9.421364541356999,8.206945480415149,8.204492830010269
orders_loss,orders,loss,1,cpu,shipping,720,721,57.69955847841203,54.38595773891522,63.978046181641034,45.63672774383575,45.43333209283176
orders_loss,orders,loss,1,mem,front-end,720,721,3.6045986283607925,3.593459411847913,3.5774808818475776,3.4494156070962347,3.41826019159447
orders_loss,orders,loss,1,mem,catalogue,720,721,0.1894765738115526,0.19062397757792826,0.4067282087180846,0.12976933267488636,0.12879163604861285
orders_loss,orders,loss,1,mem,user,720,721,0.9345331856074933,0.9443833531513692,0.574463185090577,0.6105987922499678,0.6105410622293316
orders_loss,orders,loss,1,mem,carts,720,721,0.01929556822673274,0.019403352593286287,0.014095593054024884,0.006251339955423695,0.006252523787258372
orders_loss,orders,loss,1,mem,payment,720,721,0.8632944391019619,0.8661357826464738,0.6761191679390129,0.1887251848454883,0.1885991065072899
orders_loss,orders,loss,1,mem,shipping,720,721,0.0577407397580976,0.05784103850607732,0.05971968246898755,0.02091796071265606,0.020899306325664727
orders_loss,orders,loss,2,cpu,front-end,720,721,8.775965386260884,8.77918033659395,8.7785751510234,8.035149231752852,7.973232338539899
orders_loss,orders,loss,2,cpu,catalogue,720,721,8.18149807472742,8.185579529499226,7.01964517292659,6.519353179698253,6.519654252613562
orders_loss,orders,loss,2,cpu,user,720,721,11.34418948457251,11.261776617601601,12.244168297569942,11.329065793651784,11.187819102751599
orders_loss,orders,loss,2,cpu,carts,720,721,8.067435474512088,8.087569945484859,8.117987045286105,9.036297581893145,9.014582963042683
orders_loss,orders,loss,2,cpu,payment,720,721,7.8616250612302165,7.8517662989696255,7.714852273012679,6.5641402036974466,6.575881813015795
orders_loss,orders,loss,2,cpu,shipping,720,721,58.01768015971296,59.835061105529654,55.780191195246964,41.34479514026748,41.49477583269433
orders_loss,orders,loss,2,mem,front-end,720,721,4.874169363567642,4.8721306491283345,4.864421201190998,3.6767773005740088,3.5583933077118353
orders_loss,orders,loss,2,mem,catalogue,720,721,0.21810494100264993,0.2178614744025695,0.39217542231739855,0.08543699883956604,0.08483703640490059
orders_loss,orders,loss,2,mem,user,720,721,1.1673348369461287,1.1659180003203815,1.7421955458221565,0.29337323594731896,0.29395786272558
orders_loss,orders,loss,2,mem,carts,720,721,0.00984559772946094,0.009792911289818396,0.023051871286998336,0.008102647235467449,0.008431411573361297
orders_loss,orders,loss,2,mem,payment,720,721,0.7790607593383564,0.7787485028181247,0.9940557158276674,0.2894304599535849,0.28947023026756497
orders_loss,orders,loss,2,mem,shipping,720,721,0.04961593695966431,0.0496165179716394,0.0749484969614864,0.04890652937177511,0.04888370337114064
orders_loss,orders,loss,3,cpu,front-end,720,720,7.925610731936699,7.91720239310788,8.024378234505255,7.426352504102887,7.2804678800511295
orders_loss,orders,loss,3,cpu,catalogue,720,721,5.140416727830879,5.142197877174613,5.372055042796575,8.340124591204702,8.351048324283038
orders_loss,orders,loss,3,cpu,user,720,721,7.65773663842364,7.663368146811473,7.864151993599575,8.780711163612759,8.690664043365597
orders_loss,orders,loss,3,cpu,carts,720,720,33.088385080128525,33.10987474717469,29.722173741549717,22.905821883310196,22.941235252547962
orders_loss,orders,loss,3,cpu,payment,720,721,9.903525306064713,9.90765982747977,11.597806571755603,9.684473013957858,9.701282786129333
orders_loss,orders,loss,3,cpu,shipping,718,721,104.20040594668014,104.36291724354052,121.56368334634978,83.0932098426152,83.09082183176297
orders_loss,orders,loss,3,mem,front-end,720,721,3.690875399461608,3.6836784583749385,3.4321831475586895,3.314616837736689,3.3084943513782377
orders_loss,orders,loss,3,mem,catalogue,720,721,1.3357535967194312,1.338165847405444,1.3345419909973062,0.24748273386729666,0.244540453303992
orders_loss,orders,loss,3,mem,user,720,721,0.3867360803009438,0.38458652161718376,0.4428232972774982,0.19980327340893217,0.20725923126151047
orders_loss,orders,loss,3,mem,carts,720,721,0.1265163526742549,0.12674460339440538,0.13241228693871787,0.06299917583878305,0.0627856734924063
orders_loss,orders,loss,3,mem,payment,720,721,0.9072168747907887,0.9079740278807871,0.8965525407572698,0.9604364511050595,0.960471494289007
orders_loss,orders,loss,3,mem,shipping,720,721,0.467408388060955,0.4671057016614997,0.4890822160887029,0.15510894502800754,0.15506375460640442
orders_mem,orders,mem,1,cpu,front-end,720,721,179.1069489973538,168.30144590173302,8.469446398741246,11.341693488425276,11.283247361591116
orders_mem,orders,mem,1,cpu,catalogue,720,721,31010.355637993096,29239.225953408208,457.63706776557063,453.98404680547867,454.86836319419746
orders_mem,orders,mem,1,cpu,user,720,721,175.896942348224,186.94486966408272,8.577892628044486,6.440549344398612,6.442663361064679
orders_mem,orders,mem,1,cpu,carts,720,721,164.7514223522819,188.9017379346109,14.147202392877677,8.441492043547747,8.252509077254489
orders_mem,orders,mem,1,cpu,payment,720,721,141.7435684289335,116.01334694704786,10.100386800971199,7.49319521253444,7.238670397719184
orders_mem,orders,mem,1,cpu,shipping,718,721,7080.973169114936,7181.378590398974,50.936023284935125,32.04760015107177,32.42080341765659
orders_mem,orders,mem,1,mem,front-end,720,721,132.3503134096276,87.67579126270762,3.4629581801863796,3.0977800163168765,3.0999393127338326
orders_mem,orders,mem,1,mem,catalogue,720,721,70.54193730253422,71.96625474184864,0.5073565122063887,0.1593668667465256,0.15825144969094943
orders_mem,orders,mem,1,mem,user,720,721,5.624169501920449,9.63380134239951,0.9230124974100948,0.10611233708409165,0.10526675209656196
orders_mem,orders,mem,1,mem,carts,720,721,0.1783569420954124,0.3103254849061433,0.0875287857716437,0.0074341069909082454,0.007449854141297496
orders_mem,orders,mem,1,mem,payment,720,721,15.114074567686176,15.86059112211039,1.2025933191457796,0.06420224855316957,0.06397544486857387
orders_mem,orders,mem,1,mem,shipping,720,721,1.1303704768096305,1.3782862858837441,0.24072403933804457,0.0202064343081636,0.020185193101472782
