scenario,target_service,fault_type,run_id,metric,other_service,n_pre,n_post,causal_RB~WB_pre,causal_RB~WB_post,causal_RB~WB_degrade,assoc_RB~RA_pre,assoc_RB~RA_post,assoc_RB~RA_degrade,assoc_RB~WA_pre,assoc_RB~WA_post,assoc_RB~WA_degrade
carts_disk,carts,disk,1,mem,payment,720,721,1.095,0.64,-0.454,1.12,0.633,-0.487,1.075,0.639,-0.436
carts_disk,carts,disk,1,mem,shipping,720,721,0.068,0.062,-0.006,0.059,4.112,4.053,0.068,0.062,-0.006
carts_disk,carts,disk,2,cpu,front-end,720,721,11.697,8.703,-2.994,11.729,47.918,36.189,11.711,8.708,-3.004
carts_disk,carts,disk,2,cpu,catalogue,720,721,8.006,12.903,4.897,8.349,12.171,3.822,8.287,12.918,4.631
carts_disk,carts,disk,2,cpu,user,720,721,5.797,8.09,2.293,5.944,48.057,42.113,5.938,8.106,2.168
carts_disk,carts,disk,2,cpu,orders,720,721,27.788,33.283,5.495,27.788,33.283,5.495,27.788,33.283,5.495
carts_disk,carts,disk,2,cpu,payment,720,721,6.444,12.972,6.528,6.38,93.723,87.343,6.444,12.972,6.528
carts_disk,carts,disk,2,cpu,shipping,720,721,44.677,48.211,3.534,33.482,6202.822,6169.34,44.586,48.033,3.447
carts_disk,carts,disk,2,mem,front-end,720,721,3.277,3.31,0.033,3.277,205.962,202.685,3.277,3.31,0.033
carts_disk,carts,disk,2,mem,catalogue,720,721,0.309,1.037,0.728,0.182,164.957,164.774,0.306,1.038,0.732
carts_disk,carts,disk,2,mem,user,720,721,0.393,1.873,1.48,0.169,245.322,245.154,0.392,1.873,1.481
carts_disk,carts,disk,2,mem,orders,720,721,0.141,0.105,-0.036,0.068,94.274,94.206,0.141,0.105,-0.036
carts_disk,carts,disk,2,mem,payment,720,721,1.337,1.823,0.486,1.337,1.823,0.486,1.337,1.823,0.486
carts_disk,carts,disk,2,mem,shipping,720,721,0.125,0.097,-0.029,0.06,76.618,76.558,0.125,0.097,-0.029
carts_disk,carts,disk,3,cpu,front-end,720,721,10.663,7.666,-2.997,10.443,122.539,112.096,10.608,7.737,-2.871
carts_disk,carts,disk,3,cpu,catalogue,720,721,7.222,12.516,5.294,7.627,41.562,33.935,7.509,12.895,5.386
carts_disk,carts,disk,3,cpu,user,720,721,11.032,10.601,-0.431,11.052,266.622,255.57,11.103,10.729,-0.374
carts_disk,carts,disk,3,cpu,orders,720,721,19.783,21.771,1.988,19.581,376.451,356.87,19.789,21.703,1.915
carts_disk,carts,disk,3,cpu,payment,720,721,10.201,16.209,6.008,10.226,16.212,5.986,10.103,16.217,6.114
carts_disk,carts,disk,3,cpu,shipping,720,721,45.597,77.898,32.301,46.302,6481.096,6434.794,45.704,77.386,31.682
carts_disk,carts,disk,3,mem,front-end,720,721,3.535,3.518,-0.017,3.533,139.698,136.165,3.534,3.517,-0.017
carts_disk,carts,disk,3,mem,catalogue,720,721,0.252,0.76,0.508,0.214,60.436,60.222,0.252,0.76,0.508
carts_disk,carts,disk,3,mem,user,720,721,1.183,2.358,1.175,1.025,279.613,278.588,1.183,2.358,1.175
carts_disk,carts,disk,3,mem,orders,720,721,0.184,0.432,0.248,0.156,45.502,45.346,0.184,0.432,0.248
carts_disk,carts,disk,3,mem,payment,720,721,0.408,0.638,0.23,0.408,0.638,0.23,0.408,0.638,0.23
carts_disk,carts,disk,3,mem,shipping,720,721,0.103,0.327,0.224,0.088,22.955,22.867,0.103,0.327,0.224
carts_loss,carts,loss,1,cpu,front-end,720,721,7.285,10.427,3.141,7.314,10.485,3.17,7.331,10.278,2.947
carts_loss,carts,loss,1,cpu,catalogue,720,721,7.488,6.912,-0.576,7.597,7.157,-0.439,7.584,7.172,-0.411
carts_loss,carts,loss,1,cpu,user,720,721,9.715,8.087,-1.628,9.621,8.137,-1.484,9.699,8.887,-0.811
carts_loss,carts,loss,1,cpu,orders,720,721,15.135,19.972,4.837,15.135,19.972,4.837,15.135,19.972,4.837
carts_loss,carts,loss,1,cpu,payment,720,721,8.915,8.507,-0.408,9.026,8.081,-0.945,9.026,8.081,-0.945
carts_loss,carts,loss,1,cpu,shipping,720,721,44.418,56.742,12.325,44.418,56.742,12.325,44.708,35.22,-9.488
carts_loss,carts,loss,1,mem,front-end,720,721,3.807,3.409,-0.398,3.828,3.622,-0.205,3.802,3.431,-0.371
carts_loss,carts,loss,1,mem,catalogue,720,721,0.176,0.618,0.441,0.149,0.41,0.261,0.176,0.616,0.44
carts_loss,carts,loss,1,mem,user,720,721,0.304,0.815,0.511,0.171,0.248,0.077,0.305,0.807,0.501
carts_loss,carts,loss,1,mem,orders,720,721,0.077,0.137,0.06,0.04,0.044,0.004,0.077,0.137,0.06
carts_loss,carts,loss,1,mem,payment,720,721,0.514,0.411,-0.102,0.514,0.411,-0.102,0.514,0.411,-0.102
carts_loss,carts,loss,1,mem,shipping,720,721,0.055,0.01,-0.044,0.055,0.01,-0.044,0.055,0.01,-0.044
carts_loss,carts,loss,2,cpu,front-end,720,721,11.182,9.987,-1.195,11.123,9.638,-1.486,11.093,10.104,-0.989
carts_loss,carts,loss,2,cpu,catalogue,720,721,9.715,7.745,-1.97,9.861,7.439,-2.422,9.883,7.494,-2.389
carts_loss,carts,loss,2,cpu,user,720,721,10.142,8.085,-2.057,10.142,8.1,-2.042,10.112,7.99,-2.122
carts_loss,carts,loss,2,cpu,orders,720,721,46.952,135.813,88.861,44.361,39.863,-4.498,46.952,135.813,88.861
carts_loss,carts,loss,2,cpu,payment,720,721,9.686,8.634,-1.052,9.881,8.576,-1.305,9.881,8.576,-1.305
carts_loss,carts,loss,2,cpu,shipping,720,721,56.713,114.508,57.795,47.291,55.036,7.745,56.713,114.508,57.795
carts_loss,carts,loss,2,mem,front-end,720,721,3.623,3.567,-0.056,3.623,3.567,-0.056,3.621,3.566,-0.055
carts_loss,carts,loss,2,mem,catalogue,720,721,3.564,3.578,0.014,2.666,1.2,-1.466,3.562,3.688,0.126
carts_loss,carts,loss,2,mem,user,720,721,5.435,12.758,7.323,3.218,7.781,4.563,5.427,12.781,7.354
carts_loss,carts,loss,2,mem,orders,720,721,0.744,2.045,1.301,0.449,1.312,0.863,0.741,2.069,1.328
carts_loss,carts,loss,2,mem,payment,720,721,10.967,5.442,-5.525,9.968,12.162,2.194,10.925,5.047,-5.878
carts_loss,carts,loss,2,mem,shipping,720,721,0.486,0.961,0.475,0.28,0.445,0.165,0.485,0.96,0.474
carts_loss,carts,loss,3,cpu,front-end,720,721,7.563,10.344,2.781,7.761,11.092,3.331,7.607,10.535,2.928
carts_loss,carts,loss,3,cpu,catalogue,720,721,13.051,5.342,-7.709,13.051,5.342,-7.709,13.049,5.855,-7.195
carts_loss,carts,loss,3,cpu,user,720,720,11.92,10.577,-1.343,12.36,10.241,-2.119,12.459,10.46,-1.999
carts_loss,carts,loss,3,cpu,orders,719,721,27.045,30.735,3.69,26.864,31.561,4.697,26.864,31.561,4.697
carts_loss,carts,loss,3,cpu,payment,720,721,8.314,9.902,1.589,8.179,9.629,1.45,8.404,9.852,1.448
carts_loss,carts,loss,3,cpu,shipping,720,721,42.035,58.816,16.781,41.814,53.244,11.431,42.196,52.064,9.868
carts_loss,carts,loss,3,mem,front-end,720,721,3.371,3.28,-0.09,3.368,3.286,-0.082,3.371,3.28,-0.09
carts_loss,carts,loss,3,mem,catalogue,720,721,0.688,2.947,2.258,0.485,1.998,1.513,0.69,2.986,2.296
carts_loss,carts,loss,3,mem,user,720,721,1.415,3.2,1.785,0.419,1.376,0.957,1.415,3.177,1.762
carts_loss,carts,loss,3,mem,orders,720,721,0.127,0.344,0.217,0.121,0.293,0.173,0.128,0.339,0.212
carts_loss,carts,loss,3,mem,payment,720,721,0.247,0.734,0.487,0.125,0.516,0.391,0.249,0.728,0.479
carts_loss,carts,loss,3,mem,shipping,720,721,0.272,0.306,0.034,0.08,0.081,0.001,0.272,0.3,0.027
carts_mem,carts,mem,1,cpu,front-end,718,721,8.724,9.497,0.773,8.774,85.427,76.653,8.849,9.475,0.627
carts_mem,carts,mem,1,cpu,catalogue,720,721,7.822,7.291,-0.53,7.961,63.474,55.513,7.823,7.294,-0.529
carts_mem,carts,mem,1,cpu,user,718,721,10.011,9.429,-0.582,10.011,9.429,-0.582,10.011,9.429,-0.582
carts_mem,carts,mem,1,cpu,orders,712,721,57.249,128.5,71.251,39.43,3879.748,3840.318,57.386,129.533,72.147
carts_mem,carts,mem,1,cpu,payment,720,721,11.897,13.529,1.631,11.897,13.529,1.631,11.897,13.529,1.631
carts_mem,carts,mem,1,cpu,shipping,720,721,69.453,156.625,87.172,49.956,2941.952,2891.996,69.453,156.625,87.172
carts_mem,carts,mem,1,mem,front-end,720,721,4.116,3.282,-0.833,4.085,255.597,251.512,4.116,3.282,-0.833
carts_mem,carts,mem,1,mem,catalogue,720,721,4.314,2.299,-2.015,3.262,780.77,777.507,4.31,2.293,-2.017
carts_mem,carts,mem,1,mem,user,720,721,5.612,14.31,8.698,3.068,1005.885,1002.817,5.612,14.31,8.698
carts_mem,carts,mem,1,mem,orders,712,721,0.74,1.884,1.144,0.327,194.859,194.533,0.74,1.884,1.144
carts_mem,carts,mem,1,mem,payment,720,721,14.55,4.523,-10.027,11.338,2502.486,2491.148,14.55,4.523,-10.027
carts_mem,carts,mem,1,mem,shipping,720,721,0.382,0.964,0.582,0.353,45.736,45.383,0.382,0.964,0.582
carts_mem,carts,mem,2,cpu,front-end,720,721,9.924,8.217,-1.706,9.928,202.641,192.712,9.924,8.217,-1.706
carts_mem,carts,mem,2,cpu,catalogue,720,721,6.709,6.795,0.086,6.7,343.346,336.646,6.805,7.118,0.313
carts_mem,carts,mem,2,cpu,user,720,721,7.178,11.779,4.601,7.639,237.486,229.846,7.388,13.188,5.8
carts_mem,carts,mem,2,cpu,orders,720,721,63.854,76.031,12.177,64.613,73.019,8.406,64.51,75.527,11.017
carts_mem,carts,mem,2,cpu,payment,720,721,10.266,10.859,0.593,10.27,15.779,5.51,10.266,10.859,0.593
carts_mem,carts,mem,2,cpu,shipping,720,721,25.501,22.355,-3.146,25.501,22.355,-3.146,25.485,22.73,-2.754
carts_mem,carts,mem,2,mem,front-end,720,721,3.412,3.586,0.174,3.443,3.578,0.135,3.363,3.647,0.284
carts_mem,carts,mem,2,mem,catalogue,720,721,1.062,1.448,0.386,0.997,10712.743,10711.746,1.061,1.44,0.379
carts_mem,carts,mem,2,mem,user,720,721,0.16,0.495,0.335,0.152,2278.735,2278.584,0.159,0.498,0.338
carts_mem,carts,mem,2,mem,orders,720,721,0.044,0.072,0.028,0.044,740.218,740.174,0.044,0.072,0.028
carts_mem,carts,mem,2,mem,payment,720,721,0.626,0.751,0.126,0.627,2907.038,2906.411,0.626,0.748,0.122
carts_mem,carts,mem,2,mem,shipping,720,721,0.013,0.111,0.098,0.012,245.452,245.44,0.013,0.111,0.098
carts_mem,carts,mem,3,cpu,front-end,720,721,7.857,6.838,-1.019,7.84,110.735,102.895,8.15,7.012,-1.138
carts_mem,carts,mem,3,cpu,catalogue,720,721,8.958,14.941,5.983,8.958,14.941,5.983,8.958,14.941,5.983
carts_mem,carts,mem,3,cpu,user,720,721,8.484,7.753,-0.731,8.565,7.724,-0.842,8.565,7.724,-0.842
carts_mem,carts,mem,3,cpu,orders,720,721,54.781,118.643,63.862,40.098,3551.273,3511.175,54.735,118.685,63.951
carts_mem,carts,mem,3,cpu,payment,720,721,9.224,10.996,1.772,9.204,11.006,1.802,9.204,11.006,1.802
