label,target,repeat,scenario,true_tier,true_upstream,tier1_contrib,backpressure_contrib,tier2_contrib,strict_pred,strict_correct,upstream_pred,upstream_correct
SockShop,shipping_cpu,1,tier1_driven,tier1,upstream,0.09651683300066546,-0.008265069860279447,-0.03635555555555554,tier1,True,upstream,True
SockShop,shipping_cpu,1,tier2_driven,tier2,local,-0.006886759813705916,-0.04467837658017293,0.546575116433799,tier2,True,local,True
SockShop,shipping_cpu,2,tier1_driven,tier1,upstream,0.09000013306719888,-0.01204031936127746,0.013856553559547546,tier1,True,upstream,True
SockShop,shipping_cpu,2,tier2_driven,tier2,local,-0.008285562208915513,-0.0629131071190952,0.5622166333998667,tier2,True,local,True
SockShop,shipping_cpu,3,tier1_driven,tier1,upstream,0.1028761144377911,-0.012249101796407192,-0.006794677312042568,tier1,True,upstream,True
SockShop,shipping_cpu,3,tier2_driven,tier2,local,-0.010101929474384598,-0.05140612109115109,0.5525260146373916,tier2,True,local,True
SockShop,shipping_cpu,4,tier1_driven,tier1,upstream,0.09823020625415836,-0.023782435129740508,-0.058479707252162304,tier1,True,upstream,True
SockShop,shipping_cpu,4,tier2_driven,tier2,local,-0.004114836992681324,-0.05317378576180973,0.5522986027944111,tier2,True,local,True
SockShop,shipping_cpu,5,tier1_driven,tier1,upstream,0.11776606786427145,-0.007425282767797744,-0.10634876912840986,tier1,True,upstream,True
SockShop,shipping_cpu,5,tier2_driven,tier2,local,-0.00332135728542916,-0.04694810379241521,0.5452794411177645,tier2,True,local,True
SockShop,shipping_cpu,6,tier1_driven,tier1,upstream,0.08663180306054573,-0.0009240186294078093,-0.07772375249501001,tier1,True,upstream,True
SockShop,shipping_cpu,6,tier2_driven,tier2,local,-0.009728809048569475,-0.05780492348636061,0.5665357285429142,tier2,True,local,True
SockShop,shipping_cpu,7,tier1_driven,tier1,upstream,0.10355382568196941,-0.03136939454424485,-0.10412055888223551,tier2,False,local,False
SockShop,shipping_cpu,7,tier2_driven,tier2,local,-0.014012907518296758,-0.05316021290751831,0.5661751164337991,tier2,True,local,True
SockShop,shipping_cpu,8,tier1_driven,tier1,upstream,0.12287571523619441,-0.0011208250166333724,-0.049898602794411134,tier1,True,upstream,True
SockShop,shipping_cpu,8,tier2_driven,tier2,local,-0.007274251497006006,-0.05173280106453759,0.5540170326014637,tier2,True,local,True
SockShop,shipping_cpu,9,tier1_driven,tier1,upstream,0.07554876912840974,-0.02236819693945445,0.07855595475715232,tier2,False,local,False
SockShop,shipping_cpu,9,tier2_driven,tier2,local,-0.009379773785761797,-0.04862381902860945,0.545029540918164,tier2,True,local,True
SockShop,user_cpu,0,tier1_driven,tier1,upstream,0.6535157684630738,-0.0066910179640718905,-0.16778283433133737,tier1,True,upstream,True
SockShop,user_cpu,0,tier2_driven,tier2,local,0.0020328675981370445,0.0020484364604125135,0.49492069194943455,tier2,True,local,True
SockShop,user_cpu,1,tier1_driven,tier1,upstream,0.6427361277445113,-0.005310179640718554,-0.1503999999999998,tier1,True,upstream,True
SockShop,user_cpu,1,tier2_driven,tier2,local,-0.004402129075182995,0.0015111111111111093,0.5018930139720559,tier2,True,local,True
SockShop,user_cpu,2,tier1_driven,tier1,upstream,0.6336649367930802,-0.0033015302727877846,-0.13934544244843658,tier1,True,upstream,True
SockShop,user_cpu,2,tier2_driven,tier2,local,-0.004647105788423122,-0.0013161676646706512,0.5049652694610779,tier2,True,local,True
SockShop,user_cpu,3,tier1_driven,tier1,upstream,0.6676300731869594,-0.00623952095808387,-0.1663805721889555,tier1,True,upstream,True
SockShop,user_cpu,3,tier2_driven,tier2,local,0.002332135728542904,0.002054158349966719,0.49461570192947446,tier2,True,local,True
SockShop,user_cpu,4,tier1_driven,tier1,upstream,0.6573534264803728,-0.005452162341982654,-0.16487531603459735,tier1,True,upstream,True
SockShop,user_cpu,4,tier2_driven,tier2,local,-0.0006437791084497405,0.0008435129740518965,0.498802262142382,tier2,True,local,True
SockShop,user_cpu,5,tier1_driven,tier1,upstream,0.6504617431803059,-0.0071583499667332,-0.14829341317365272,tier1,True,upstream,True
SockShop,user_cpu,5,tier2_driven,tier2,local,-0.002345708582834334,0.001473586161011333,0.499874118429807,tier2,True,local,True
SockShop,user_cpu,6,tier1_driven,tier1,upstream,0.6704922155688622,-0.007022222222222238,-0.16846001330671997,tier1,True,upstream,True
SockShop,user_cpu,6,tier2_driven,tier2,local,-0.004393346640053245,-0.003320958083832342,0.5067163007318696,tier2,True,local,True
SockShop,user_cpu,7,tier1_driven,tier1,upstream,0.6733663339986694,-0.0036226214238190392,-0.17074171656686624,tier1,True,upstream,True
SockShop,user_cpu,7,tier2_driven,tier2,local,-0.00159906852960743,0.0004964737192282011,0.5001045908183633,tier2,True,local,True
SockShop,user_cpu,8,tier1_driven,tier1,upstream,0.6581061876247504,-0.005986560212907567,-0.1611016633399868,tier1,True,upstream,True
SockShop,user_cpu,8,tier2_driven,tier2,local,0.0006401862940785725,-0.0018613439787092357,0.5002231536926148,tier2,True,local,True
SockShop,user_cpu,9,tier1_driven,tier1,upstream,0.6345677977378577,-0.004532401862940778,-0.14700146373918832,tier1,True,upstream,True
SockShop,user_cpu,9,tier2_driven,tier2,local,-0.006384431137724545,0.00014797072521624267,0.5052384564204925,tier2,True,local,True
SockShop,carts_cpu,0,tier1_driven,tier1,upstream,0.22177085828343313,-0.021490219560878245,0.06718443113772456,tier1,True,upstream,True
SockShop,carts_cpu,0,tier2_driven,tier2,local,-0.00994876912840987,-0.051122421823020694,0.5520891550232865,tier2,True,local,True
SockShop,carts_cpu,1,tier1_driven,tier1,upstream,0.26343539587491666,-0.026385362608117115,0.010454956753160341,tier1,True,upstream,True
SockShop,carts_cpu,1,tier2_driven,tier2,local,-0.010994145043246804,-0.04477604790419164,0.5547721889554225,tier2,True,local,True
SockShop,carts_cpu,2,tier1_driven,tier1,upstream,0.28844298070525615,-0.015634331337325388,-0.04526373918829008,tier1,True,upstream,True
SockShop,carts_cpu,2,tier2_driven,tier2,local,-0.012660146373918877,-0.04773812375249504,0.5434322022621425,tier2,True,local,True
