label,delta_pct,node,tier,projected_mean,train_p95,train_max,ood_confidence
SockShop,20,catalogue_mem,tier2,6139221.333333333,6524928.0,329572352.0,high
SockShop,20,catalogue_latency-50,tier2,0.003055575683756115,0.0031428571428571,0.14601266373267,high
SockShop,20,user_cpu,tier2,0.9509353685928023,1.154028797755648,1.6543799486507298,high
SockShop,20,user_mem,tier2,8110434.986666666,9162752.0,14548992.0,high
SockShop,20,user_latency-50,tier2,0.004182574495109199,0.0056605922551252,0.0175,high
SockShop,20,carts_cpu,tier2,2.3399430478650705,5.5648055996062755,48.76569806376475,high
SockShop,20,carts_mem,tier2,214721208.32,222748672.0,432041984.0,high
SockShop,20,carts_latency-50,tier2,0.08854047057376772,1.1874999999999998,5.5,high
SockShop,20,orders_cpu,tier2,2.258631640403543,5.602826944199368,80.04373168689828,high
SockShop,20,orders_mem,tier2,329333792.78228605,336138240.0,656744448.0,high
SockShop,20,orders_latency-50,tier2,0.08778308224532423,0.5000000000000001,2.125,high
SockShop,20,payment_cpu,tier2,0.08974365720142474,0.1010122448979587,19.838419782870968,high
SockShop,20,payment_mem,tier2,4621694.293333333,5140480.0,7991296.0,high
SockShop,20,payment_latency-50,tier2,0.0024444512386675777,0.0028095238095238,0.005,high
SockShop,20,shipping_cpu,tier2,0.6377662443611434,1.788315640825861,13.558962604157635,high
SockShop,20,shipping_mem,tier2,303406120.96,307023872.0,604696576.0,high
SockShop,20,shipping_latency-50,tier2,0.0033102210934891733,0.004960949764521125,2.5,high
SockShop,25,catalogue_workload,tier1,5.161227249629942,4.667,5.933,low
SockShop,25,carts_workload,tier1,10.200842113526837,9.667,13.733,low
SockShop,25,user_workload,tier1,21.46427339934998,21.8,30.067,medium
SockShop,25,orders_workload,tier1,2.2372948964399795,2.667,15.067,high
SockShop,25,payment_workload,tier1,2.203269660015552,2.667,3.733,high
SockShop,25,shipping_workload,tier1,2.1984799361520073,2.667,4.0,high
