system,service,metric,model,mape_full_res_pct,rmse_full_res,r2_full_res,n_train,n_fit,n_test_full_res
TrainTicket,ts-security-service,CPU,GradBoost,57.63,0.5495,-0.038,39051,2000,19235
TrainTicket,ts-security-service,CPU,GaussianProcess,52.4,0.5603,-0.079,39051,2000,19235
TrainTicket,ts-security-service,CPU,SCM_Auto,57.63,0.5495,-0.038,39051,2000,19235
TrainTicket,ts-security-service,CPU,SCM_Deployed,74.94,0.5402,-0.003,39051,2000,19235
TrainTicket,ts-station-service,CPU,LinearReg,43.78,4.3179,-0.38,43408,2000,21381
TrainTicket,ts-station-service,CPU,GradBoost,22.67,3.7207,-0.025,43408,2000,21381
TrainTicket,ts-station-service,CPU,GaussianProcess,26.05,3.8754,-0.112,43408,2000,21381
TrainTicket,ts-station-service,CPU,SCM_Auto,28.18,4.5407,-0.526,43408,2000,21381
TrainTicket,ts-station-service,CPU,SCM_Deployed,43.78,4.3179,-0.38,43408,2000,21381
TrainTicket,ts-ticketinfo-service,CPU,LinearReg,42.69,2.7566,-0.319,43409,2000,21382
TrainTicket,ts-ticketinfo-service,CPU,GradBoost,21.75,2.4005,-0.0,43409,2000,21382
TrainTicket,ts-ticketinfo-service,CPU,GaussianProcess,24.42,2.4254,-0.021,43409,2000,21382
TrainTicket,ts-ticketinfo-service,CPU,SCM_Auto,27.93,3.136,-0.707,43409,2000,21382
TrainTicket,ts-ticketinfo-service,CPU,SCM_Deployed,42.69,2.7566,-0.319,43409,2000,21382
TrainTicket,ts-train-service,CPU,LinearReg,54.35,2.6211,-0.154,43402,2000,21378
TrainTicket,ts-train-service,CPU,GradBoost,19.68,2.5243,-0.07,43402,2000,21378
TrainTicket,ts-train-service,CPU,GaussianProcess,27.81,2.4508,-0.009,43402,2000,21378
TrainTicket,ts-train-service,CPU,SCM_Auto,26.74,2.4977,-0.048,43402,2000,21378
TrainTicket,ts-train-service,CPU,SCM_Deployed,54.35,2.6211,-0.154,43402,2000,21378
TrainTicket,ts-travel-service,CPU,LinearReg,72.71,3.9838,-0.098,43409,2000,21382
TrainTicket,ts-travel-service,CPU,GradBoost,32.38,3.9096,-0.057,43409,2000,21382
TrainTicket,ts-travel-service,CPU,GaussianProcess,32.55,3.9135,-0.059,43409,2000,21382
TrainTicket,ts-travel-service,CPU,SCM_Auto,72.71,3.9838,-0.098,43409,2000,21382
TrainTicket,ts-travel-service,CPU,SCM_Deployed,72.71,3.9838,-0.098,43409,2000,21382
TrainTicket,ts-travel2-service,CPU,LinearReg,45.13,3.3303,-0.183,43412,2000,21383
TrainTicket,ts-travel2-service,CPU,GradBoost,29.43,3.0743,-0.008,43412,2000,21383
TrainTicket,ts-travel2-service,CPU,GaussianProcess,19.5,3.3328,-0.185,43412,2000,21383
TrainTicket,ts-travel2-service,CPU,SCM_Auto,30.81,3.0839,-0.014,43412,2000,21383
TrainTicket,ts-travel2-service,CPU,SCM_Deployed,45.13,3.3303,-0.183,43412,2000,21383
TrainTicket,ts-ui-dashboard,CPU,LinearReg,9.01,0.0222,-0.024,43409,2000,21382
TrainTicket,ts-ui-dashboard,CPU,GradBoost,9.75,0.0228,-0.076,43409,2000,21382
TrainTicket,ts-ui-dashboard,CPU,GaussianProcess,9.34,0.0223,-0.026,43409,2000,21382
TrainTicket,ts-ui-dashboard,CPU,SCM_Auto,9.75,0.0228,-0.076,43409,2000,21382
TrainTicket,ts-ui-dashboard,CPU,SCM_Deployed,9.01,0.0222,-0.024,43409,2000,21382
TrainTicket,ts-user-service,CPU,LinearReg,79.1,0.5274,0.001,39040,2000,19230
TrainTicket,ts-user-service,CPU,GradBoost,59.81,0.5339,-0.024,39040,2000,19230
TrainTicket,ts-user-service,CPU,GaussianProcess,55.75,0.5377,-0.038,39040,2000,19230
TrainTicket,ts-user-service,CPU,SCM_Auto,75.86,0.687,-0.695,39040,2000,19230
TrainTicket,ts-user-service,CPU,SCM_Deployed,79.1,0.5274,0.001,39040,2000,19230
TrainTicket,ts-admin-basic-info-service,Memory,LinearReg,2.17,6.4964,-0.011,43416,2000,21384
TrainTicket,ts-admin-basic-info-service,Memory,GradBoost,2.16,6.4619,-0.0,43416,2000,21384
TrainTicket,ts-admin-basic-info-service,Memory,GaussianProcess,2.18,6.4655,-0.002,43416,2000,21384
TrainTicket,ts-admin-basic-info-service,Memory,SCM_Auto,2.17,6.4964,-0.011,43416,2000,21384
TrainTicket,ts-admin-basic-info-service,Memory,SCM_Deployed,2.17,6.4964,-0.011,43416,2000,21384
TrainTicket,ts-admin-travel-service,Memory,LinearReg,2.59,7.2061,-0.001,43416,2000,21384
TrainTicket,ts-admin-travel-service,Memory,GradBoost,2.58,7.2045,-0.001,43416,2000,21384
TrainTicket,ts-admin-travel-service,Memory,GaussianProcess,2.6,7.2026,-0.0,43416,2000,21384
TrainTicket,ts-admin-travel-service,Memory,SCM_Auto,2.58,7.2045,-0.001,43416,2000,21384
TrainTicket,ts-admin-travel-service,Memory,SCM_Deployed,2.59,7.2061,-0.001,43416,2000,21384
TrainTicket,ts-assurance-service,Memory,LinearReg,2.79,8.2009,-0.044,43411,2000,21382
TrainTicket,ts-assurance-service,Memory,GradBoost,2.83,8.3058,-0.07,43411,2000,21382
TrainTicket,ts-assurance-service,Memory,GaussianProcess,2.74,8.0811,-0.013,43411,2000,21382
TrainTicket,ts-assurance-service,Memory,SCM_Auto,2.83,8.3058,-0.07,43411,2000,21382
TrainTicket,ts-assurance-service,Memory,SCM_Deployed,2.74,8.0756,-0.012,43411,2000,21382
TrainTicket,ts-auth-service,Memory,LinearReg,2.57,11.8884,-0.204,43416,2000,21384
TrainTicket,ts-auth-service,Memory,GradBoost,2.04,10.9318,-0.018,43416,2000,21384
TrainTicket,ts-auth-service,Memory,GaussianProcess,1.94,10.8316,0.0,43416,2000,21384
TrainTicket,ts-auth-service,Memory,SCM_Auto,5.28,17.2224,-1.528,43416,2000,21384
TrainTicket,ts-auth-service,Memory,SCM_Deployed,1.95,10.8331,-0.0,43416,2000,21384
TrainTicket,ts-basic-service,Memory,LinearReg,1.33,4.0753,-0.024,43416,2000,21384
TrainTicket,ts-basic-service,Memory,GradBoost,1.39,4.3118,-0.147,43416,2000,21384
TrainTicket,ts-basic-service,Memory,GaussianProcess,1.37,4.1134,-0.043,43416,2000,21384
TrainTicket,ts-basic-service,Memory,SCM_Auto,1.33,4.0753,-0.024,43416,2000,21384
TrainTicket,ts-basic-service,Memory,SCM_Deployed,1.33,4.0753,-0.024,43416,2000,21384
TrainTicket,ts-config-service,Memory,LinearReg,1.39,4.4994,-0.032,43416,2000,21384
TrainTicket,ts-config-service,Memory,GradBoost,1.44,4.53,-0.046,43416,2000,21384
TrainTicket,ts-config-service,Memory,GaussianProcess,1.42,4.4897,-0.028,43416,2000,21384
TrainTicket,ts-config-service,Memory,SCM_Auto,1.42,4.4849,-0.025,43416,2000,21384
TrainTicket,ts-config-service,Memory,SCM_Deployed,1.39,4.4994,-0.032,43416,2000,21384
TrainTicket,ts-consign-price-service,Memory,LinearReg,2.46,7.3519,-0.023,43416,2000,21384
TrainTicket,ts-consign-price-service,Memory,GradBoost,2.48,7.2887,-0.006,43416,2000,21384
TrainTicket,ts-consign-price-service,Memory,GaussianProcess,2.51,7.27,-0.001,43416,2000,21384
TrainTicket,ts-consign-price-service,Memory,SCM_Auto,2.46,7.3519,-0.023,43416,2000,21384
TrainTicket,ts-consign-price-service,Memory,SCM_Deployed,2.46,7.3519,-0.023,43416,2000,21384
TrainTicket,ts-consign-service,Memory,LinearReg,2.73,8.406,-0.005,43416,2000,21384
TrainTicket,ts-consign-service,Memory,GradBoost,2.77,8.4468,-0.015,43416,2000,21384
TrainTicket,ts-consign-service,Memory,GaussianProcess,2.76,8.432,-0.011,43416,2000,21384
TrainTicket,ts-consign-service,Memory,SCM_Auto,2.73,8.406,-0.005,43416,2000,21384
TrainTicket,ts-consign-service,Memory,SCM_Deployed,2.73,8.406,-0.005,43416,2000,21384
TrainTicket,ts-contacts-service,Memory,LinearReg,2.68,8.3001,-0.015,39061,2000,19239
TrainTicket,ts-contacts-service,Memory,GradBoost,2.79,8.2844,-0.011,39061,2000,19239
TrainTicket,ts-contacts-service,Memory,GaussianProcess,2.8,8.2915,-0.013,39061,2000,19239
TrainTicket,ts-contacts-service,Memory,SCM_Auto,2.79,8.2845,-0.011,39061,2000,19239
TrainTicket,ts-contacts-service,Memory,SCM_Deployed,2.68,8.3001,-0.015,39061,2000,19239
TrainTicket,ts-food-map-service,Memory,LinearReg,2.27,7.4565,-0.001,43416,2000,21384
