service,metric,mode,n_train,shuffled,n_test,model,skill,r2_signal,lambda
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,ood,30,False,20,ElasticityPooled,0.7437977041513664,0.4922917565188914,0.830119862852256
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,indist,30,False,18,constant,0.0,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,indist,30,False,18,persistence,-3.4799307171129463,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,indist,30,False,18,NNLS_deployed,0.0021610365830064815,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,indist,30,False,18,LinearReg,0.0021611787668907034,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,indist,30,False,18,Queueing,0.0018141789975536504,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,indist,30,False,18,GradBoost,0.0013316830701920468,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,indist,30,False,18,ElasticityPrior,-0.16714556097330058,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,indist,30,False,18,ElasticityPooled,0.004244528129812242,0.00918961446666267,0.957065436366684
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,ood,30,False,20,constant,0.0,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,ood,30,False,20,persistence,-0.36634863620712754,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,ood,30,False,20,NNLS_deployed,-1.3288457023641342e-07,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,ood,30,False,20,LinearReg,-0.1216842730861949,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,ood,30,False,20,Queueing,-1.3288457023641342e-07,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,ood,30,False,20,GradBoost,-0.2427577222192978,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,ood,30,False,20,ElasticityPrior,-0.39568552429250015,0.00918961446666267,
04629083dca233713ffc43c844ebeddc780373190c10faab09c1dc11b279e052,cpu,ood,30,False,20,ElasticityPooled,0.05817819426319615,0.00918961446666267,0.8538137719865888
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,indist,30,False,18,constant,0.0,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,indist,30,False,18,persistence,-0.04638926681190059,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,indist,30,False,18,NNLS_deployed,0.19211093667645807,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,indist,30,False,18,LinearReg,0.19211291665585306,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,indist,30,False,18,Queueing,0.1914505881638806,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,indist,30,False,18,GradBoost,-0.023634979319495875,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,indist,30,False,18,ElasticityPrior,0.0771142411029665,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,indist,30,False,18,ElasticityPooled,0.12155442170500064,0.18616679043031137,0.33363957357124713
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,ood,30,False,20,constant,0.0,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,ood,30,False,20,persistence,-0.23169852953279824,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,ood,30,False,20,NNLS_deployed,-0.3647416444191236,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,ood,30,False,20,LinearReg,-0.36474272403622954,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,ood,30,False,20,Queueing,-0.4210002219041753,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,ood,30,False,20,GradBoost,-0.16970422060899382,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,ood,30,False,20,ElasticityPrior,0.13471549946093275,0.18616679043031137,
053aaa31e89b1dbcdc31e2aa0d2aeec872f145550b683a61c91d6f3891cecd62,cpu,ood,30,False,20,ElasticityPooled,0.13471549946093275,0.18616679043031137,0.0
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,indist,30,False,18,constant,0.0,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,indist,30,False,18,persistence,-0.03892674727683487,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,indist,30,False,18,NNLS_deployed,0.24412300285551392,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,indist,30,False,18,LinearReg,0.24412283067525986,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,indist,30,False,18,Queueing,0.24585525099790184,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,indist,30,False,18,GradBoost,-0.18109413489140702,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,indist,30,False,18,ElasticityPrior,0.1693317458634529,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,indist,30,False,18,ElasticityPooled,0.23999153766004,0.25769106311475565,0.9030008033645694
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,ood,30,False,20,constant,0.0,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,ood,30,False,20,persistence,0.403418967358919,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,ood,30,False,20,NNLS_deployed,-1.7396719176332454e-08,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,ood,30,False,20,LinearReg,-0.2934542206199904,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,ood,30,False,20,Queueing,-1.7396719176332454e-08,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,ood,30,False,20,GradBoost,0.37295941394691834,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,ood,30,False,20,ElasticityPrior,0.3978746338122702,0.25769106311475565,
0754c211dd9fb69fcda626915a5224ec20406cfdad237892e58c79f55f33a772,cpu,ood,30,False,20,ElasticityPooled,0.08395951473752417,0.25769106311475565,0.8272511664339434
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,indist,30,False,18,constant,0.0,0.6243835236036401,
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,indist,30,False,18,persistence,-0.04234974831849092,0.6243835236036401,
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,indist,30,False,18,NNLS_deployed,0.8470894815489234,0.6243835236036401,
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,indist,30,False,18,LinearReg,0.8470894953945712,0.6243835236036401,
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,indist,30,False,18,Queueing,0.8345753557669987,0.6243835236036401,
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,indist,30,False,18,GradBoost,0.23245434205659732,0.6243835236036401,
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,indist,30,False,18,ElasticityPrior,0.326728178288725,0.6243835236036401,
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,indist,30,False,18,ElasticityPooled,0.8650028838749928,0.6243835236036401,0.8894568031650028
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,ood,30,False,20,constant,0.0,0.6243835236036401,
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,ood,30,False,20,persistence,0.2549541095723318,0.6243835236036401,
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,ood,30,False,20,NNLS_deployed,0.6652698756460604,0.6243835236036401,
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,ood,30,False,20,LinearReg,0.6652698756460604,0.6243835236036401,
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,ood,30,False,20,Queueing,0.6652698756460604,0.6243835236036401,
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,ood,30,False,20,GradBoost,0.2522600122744074,0.6243835236036401,
07894ac314bd3af614bdf486314d7b3d8c66b16e7d6b259149365bb982df1a98,cpu,ood,30,False,20,ElasticityPrior,0.2101044881977694,0.6243835236036401,
